"";"genes";"logFC.RNA";"AveExpr.RNA";"t.RNA";"P.Value.RNA";"adj.P.Val.RNA";"B.RNA";"logFC.ATAC";"AveExpr.ATAC";"t.ATAC";"P.Value.ATAC";"adj.P.Val.ATAC";"B.ATAC"
"48";"ABCD4";0,0636075204745428;5,57282573177787;0,478809590139148;0,6369403391837;0,999809857860324;-4,73961120155253;0,211519203878119;5,16936678975229;2,55073306564589;0,0195528350768988;0,0862711474425796;-3,8587523187199
"49";"ABCE1";-0,110690590956229;5,73687605654025;-0,599375323123678;0,555229166426358;0,999809857860324;-4,71786792852361;-0,290881168944747;5,40465506607689;-2,67703290156199;0,0149303110226823;0,0728530960494121;-3,63422991125055
"50";"ABCF1";0,0328040918943904;7,54963993308459;0,278456792247202;0,783340284458011;0,999809857860324;-4,75706118324101;-0,0269392955918573;5,4240005709096;-0,365914414691521;0,718481392116126;0,814818301295019;-6,72560950325521
"51";"ABCF2";-0,0363333151287382;6,22124228662692;-0,274070139149834;0,786664371360662;0,999809857860324;-4,7674701189939;0,221373830766107;6,85894985358586;2,69317094061449;0,0144206078029535;0,0711591051073334;-3,62913134594834
"52";"ABCF3";-0,0926194033820487;5,80479924778861;-0,925205707954931;0,365197077850598;0,999809857860324;-4,64488311067649;-0,151234583432338;5,60430355128702;-1,81807747986966;0,0848945272487919;0,209424822928729;-5,2319975158856
"53";"ABCG1";-0,400081757310934;0,751230436150461;-0,687034372479223;0,499454937688012;0,999809857860324;-4,61302428375813;0,588483699471862;4,49245158880758;5,16668891201375;5,52839926760387e-05;0,00234387502181689;1,95292759281017
"54";"ABCG2";-0,0230473000810743;2,77183391779126;-0,096154373363941;0,924294645804813;0,999809857860324;-4,6826683928889;0,1031719502145;3,11830413592232;0,641232567735882;0,529050387084168;0,669746536717892;-5,83133407503456
"55";"ABHD10";0,275346206863637;4,00844663612189;2,05861530699249;0,0519370294407336;0,999809857860324;-4,29747992666383;-0,249032213457834;4,79012844190858;-2,61903407993498;0,0169071046657771;0,0788289910611742;-3,651261687158
"56";"ABHD11";-0,0402612221444891;4,06960881755827;-0,167946579338365;0,86820572289587;0,999809857860324;-4,71706450198846;-0,236444146368986;5,48429368963133;-3,8350625661465;0,00112093178513435;0,0137828854558561;-1,16613016181271
"57";"ABHD12";0,0127133346634372;5,84785493371497;0,0874840783048958;0,931101931384879;0,999809857860324;-4,77668175508965;0,360679491759115;4,97803611554494;4,96245650313334;8,70643053842967e-05;0,00300753620522993;1,41513130169602
"58";"ABHD13";0,0445587298537027;3,96306687716346;0,173443758929681;0,863936211347967;0,999809857860324;-4,72010729502152;-0,0978808761265233;5,03808607561422;-1,12679983206031;0,273892194754439;0,432124211035187;-6,08551354129775
"59";"ABHD14A";0,303028913931059;2,49912624429649;1,67846915744012;0,107831235240984;0,999809857860324;-4,48859544935941;0,0846767228957921;5,41497462071325;1,17094725553354;0,256132318989537;0,413727030105284;-6,11025720139496
"60";"ABHD14B";0,142280948593625;5,33931217563682;1,1017687195321;0,282825838533971;0,999809857860324;-4,59092757471364;0,0846767228957921;5,41497462071325;1,17094725553354;0,256132318989537;0,413727030105284;-6,11025720139496
"61";"ABHD15";0,000842826022742216;5,13936857820564;0,0067830244098897;0,99465094002942;0,999809857860324;-4,76721019456728;0,20663860489096;5,22225999187367;2,1381636973671;0,0457462655214664;0,145902221800845;-4,64098749736918
"62";"ABHD16A";0,057953599819843;6,14730543450693;0,386004503859897;0,703312235236603;0,999809857860324;-4,75565026001649;-0,189165996842071;5,82989464434937;-1,97822398954551;0,062625623623099;0,175635813431777;-4,97906788531284
"63";"ABHD17A";-0,0157583631347364;8,26159319532574;-0,088942187833855;0,929956737205705;0,999809857860324;-4,75869698782162;0,146906320504692;5,88411232356954;1,94338223004276;0,0669718423976295;0,182541001987506;-5,04280431457985
"64";"ABHD17B";0,150463183254938;4,64929204734573;0,828251928204988;0,416689087698832;0,999809857860324;-4,65750583602283;0,324936779144463;6,80001849765816;3,14719859372352;0,00531750974162854;0,0374755441075258;-2,68778265014593
