"";"x"
"578";"LOC105373380"
"579";"LOC101927493"
"580";"LOC102724584"
"581";"LOC102477328"
"582";"LOC105376312"
"583";"LOC101929507"
"584";"LINC00583"
"585";"LOC105371548"
"586";"LOC105370139"
"587";"LOC101927844"
"588";"LINC01485"
"589";"LOC100506444"
"590";"LOC101927692"
"591";"SUCLG2P2"
"592";"MIR5700"
"593";"LOC105374056"
"594";"INHA"
"595";"MIR4265"
"596";"CNTNAP2"
"597";"LOC105373790"
"598";"LOC105377989"
"599";"PDE1A"
"600";"LOC105372668"
"601";"LOC105370581"
"602";"LOC105379333"
"603";"C10orf67"
"604";"SGIP1"
"605";"C12orf56"
"606";"MIR4711"
"607";"LOC105375269"
"608";"LOC101929535"
"609";"LOC105375052"
"610";"LOC105377724"
"611";"LOC105377723"
"612";"LGALS3BP"
"613";"C9orf170"
"614";"SRPX2"
"615";"CDH8"
"616";"TMEM56"
"617";"LOC101928472"
"618";"LOC105370956"
"619";"LOC105377641"
"620";"LOC105378781"
"621";"TSPAN6"
"622";"IGF2BP2-AS1"
"623";"OR51B5"
"624";"LOC105371311"
"625";"IMPG1"
"626";"LOC102724068"
"627";"LOC285696"
"628";"DPYD-AS1"
"629";"LOC105375164"
"630";"LOC105370812"
"631";"MIR566"
"632";"IL21-AS1"
"633";"LOC102724550"
"634";"MIR6811"
"635";"KRTAP4-7"
"636";"TRBV10-1"
"637";"TRBV11-1"
"638";"DSCR8"
"639";"IRX6"
"640";"LOC105375792"
"641";"LINC00051"
"642";"LOC105372611"
"643";"RNA5SP364"
"644";"LOC105369883"
"645";"LOC105371081"
"646";"YAP1"
"647";"TRF-GAA3-1"
"648";"TRA-AGC6-1"
"649";"LOC105375850"
"650";"BRINP2"
"651";"TRBV6-6"
"652";"RNF128"
"653";"LOC105373792"
"654";"LOC105377529"
"655";"LINC01214"
"656";"LOC105375636"
"657";"LOC105372976"
"658";"MIR3619"
"659";"RSPO3"
"660";"LOC105377377"
"661";"KIAA0408"
"662";"LOC101929484"
"663";"MYOF"
"664";"LINC01423"
