"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"LOC105378332";"LOC105378332";-0,1737533;3,066718;-1,0095;0,3254501;0,4836974;-5,493992
"LOC105378333";"LOC105378333";-0,1737533;3,066718;-1,0095;0,3254501;0,4836974;-5,493992
"MORN2";"MORN2";-0,1172379;5,48916;-1,009461;0,3254686;0,4836994;-6,283288
"LOC105376216";"LOC105376216";0,1307933;4,36041;1,009334;0,3255279;0,483762;-6,020487
"RPH3A";"RPH3A";-0,3845875;2,643075;-1,009253;0,3255657;0,4837899;-5,361263
"SNX3";"SNX3";-0,1318003;6,48524;-1,009183;0,3255981;0,4837899;-6,311902
"RNA5SP212";"RNA5SP212";-0,1318003;6,48524;-1,009183;0,3255981;0,4837899;-6,311902
"OGN";"OGN";-0,273307;2,983261;-1,008826;0,3257652;0,4839878;-5,45454
"LOC105369404";"LOC105369404";-0,5687943;1,121896;-1,008825;0,3257656;0,4839878;-4,935762
"HEXA-AS1";"HEXA-AS1";-0,1368384;5,887889;-1,008352;0,3259865;0,4842372;-6,314047
"LOC105374760";"LOC105374760";0,2417522;3,806775;1,008343;0,3259909;0,4842372;-5,778696
"DDX60L";"DDX60L";0,08509748;4,704147;1,008333;0,3259957;0,4842372;-6,130183
"BUB1B";"BUB1B";-0,0864523;4,874224;-1,008319;0,3260022;0,4842372;-6,184096
"F8";"F8";-0,1278973;4,723421;-1,008006;0,3261483;0,4844192;-6,125817
"HACD4";"HACD4";0,1894962;4,205364;1,007967;0,3261665;0,4844192;-5,943078
"LOC105370134";"LOC105370134";-0,559395;1,253612;-1,007946;0,3261763;0,4844192;-5,017213
"LOC105371522";"LOC105371522";-0,06656078;5,32812;-1,007645;0,3263175;0,4846033;-6,273571
"LOC105376963";"LOC105376963";-0,1526397;4,382374;-1,007494;0,3263881;0,4846827;-6,053452
"HMGCR";"HMGCR";0,2428296;6,823826;1,007369;0,3264466;0,4847354;-6,305206
"PPP1R7";"PPP1R7";0,1315819;5,734891;1,007312;0,3264729;0,4847354;-6,313353
"PP14571";"PP14571";-0,2718636;2,815321;-1,007271;0,3264923;0,4847354;-5,423977
"MIR149";"MIR149";-0,2718636;2,815321;-1,007271;0,3264923;0,4847354;-5,423977
"CD200";"CD200";-0,2491583;2,256938;-1,006894;0,3266688;0,4849719;-5,204112
"R3HDM2";"R3HDM2";-0,1172964;4,536294;-1,006838;0,3266951;0,4849853;-6,0754
"SECISBP2";"SECISBP2";0,09099956;6,427254;1,006747;0,3267375;0,4850228;-6,319099
"ZNF18";"ZNF18";0,08524143;6,723778;1,006497;0,3268548;0,4851714;-6,309132
"MIR4803";"MIR4803";-0,5741269;1,109238;-1,006436;0,3268833;0,4851881;-4,977401
"PCDHGC5";"PCDHGC5";-0,1989824;3,322198;-1,006337;0,3269297;0,4851939;-5,651416
"GSTCD";"GSTCD";0,1217928;4,346246;1,006331;0,3269323;0,4851939;-6,000682
"MIR26A2";"MIR26A2";-0,2427884;2,859252;-1,006317;0,3269388;0,4851939;-5,471
"LOC399886";"LOC399886";-0,5674598;0,7557145;-1,006221;0,3269841;0,4852355;-4,857527
"PARD6G-AS1";"PARD6G-AS1";0,1446471;3,883976;1,006084;0,3270483;0,4852762;-5,814762
"FAM47E-STBD1";"FAM47E-STBD1";-0,1072846;3,903354;-1,006046;0,3270657;0,4852762;-5,856456
"LOC105375216";"LOC105375216";-0,1505185;4,659152;-1,006017;0,3270794;0,4852762;-6,136068
"RXFP2";"RXFP2";-0,2369939;2,924123;-1,006015;0,3270803;0,4852762;-5,458539
"LOC105370550";"LOC105370550";-0,2767109;2,883197;-1,005482;0,3273301;0,4855687;-5,501245
"UBXN10";"UBXN10";0,1792737;3,56711;1,005446;0,3273473;0,4855687;-5,71698
"UBXN10-AS1";"UBXN10-AS1";0,1792737;3,56711;1,005446;0,3273473;0,4855687;-5,71698
"LOC102723746";"LOC102723746";0,3920167;1,315225;1,005405;0,3273664;0,4855687;-4,951438
"CCDC67";"CCDC67";0,3920167;1,315225;1,005405;0,3273664;0,4855687;-4,951438
"LOC105378984";"LOC105378984";-0,9197394;0,5072951;-1,005337;0,3273984;0,4855687;-4,819965
"STRAP";"STRAP";-0,06689793;5,804124;-1,005306;0,3274127;0,4855687;-6,316447
"LOC101928098";"LOC101928098";-0,1041507;6,286681;-1,005301;0,3274153;0,4855687;-6,320407
"DARS2";"DARS2";0,1194481;6,724245;1,00507;0,3275234;0,4857034;-6,310342
"ZNF837";"ZNF837";0,1123484;7,118956;1,004958;0,3275761;0,4857561;-6,291408
"ALDH16A1";"ALDH16A1";0,08128008;6,24079;1,00492;0,3275939;0,485757;-6,324151
"LOC105375117";"LOC105375117";-0,2543619;4,055265;-1,004743;0,327677;0,4858547;-5,939778
"MIR619";"MIR619";-0,1074889;4,757116;-1,004653;0,3277194;0,485892;-6,153526
"LOC154761";"LOC154761";0,1676104;7,016803;1,004434;0,3278218;0,4860045;-6,297567
"LOC105369601";"LOC105369601";-0,1628101;3,712737;-1,004417;0,3278298;0,4860045;-5,751677
"LOC105371911";"LOC105371911";-0,2485062;3,110648;-1,004331;0,3278701;0,4860142;-5,574147
"PKP4";"PKP4";0,1043606;4,57742;1,00433;0,3278708;0,4860142;-6,10157
"LOC105372190";"LOC105372190";-0,5379765;1,054619;-1,004127;0,327966;0,4861297;-4,922749
"SETX";"SETX";-0,0787577;5,143261;-1,003889;0,3280777;0,4862698;-6,242923
"PRRT1";"PRRT1";0,09185841;5,374226;1,00368;0,3281759;0,4863386;-6,269011
"LOC100507547";"LOC100507547";0,09185841;5,374226;1,00368;0,3281759;0,4863386;-6,269011
"PPT2";"PPT2";0,09185841;5,374226;1,00368;0,3281759;0,4863386;-6,269011
"BNIP3L";"BNIP3L";0,1476146;5,484208;1,003096;0,3284504;0,4867198;-6,286625
"ELAVL1";"ELAVL1";0,09617838;5,734038;1,002897;0,3285437;0,486832;-6,316715
"IGFBP1";"IGFBP1";-0,5987822;0,6497549;-1,002861;0,3285607;0,486832;-4,92534
"DUOXA2";"DUOXA2";0,1150232;5,36898;1,002817;0,3285816;0,4868375;-6,279796
"LOC105375899";"LOC105375899";0,4325242;0,9918601;1,002591;0,3286879;0,4869693;-4,874818
"ZNF615";"ZNF615";-0,1014828;5,495371;-1,002496;0,3287325;0,4870098;-6,294872
"ACBD6";"ACBD6";0,0843251;5,541557;1,002283;0,3288327;0,4871298;-6,29669
"TBC1D28";"TBC1D28";-0,09657697;5,030268;-1,00225;0,328848;0,4871298;-6,215119
"TRI-GAT1-1";"TRI-GAT1-1";-0,2074234;3,075805;-1,002095;0,328921;0,4872123;-5,476207
"MRPS5";"MRPS5";-0,1038789;4,528227;-1,002026;0,3289535;0,4872348;-6,091795
"CMTR2";"CMTR2";-0,08711646;5,644517;-1,001882;0,3290214;0,4873097;-6,31063
"LOC105376122";"LOC105376122";-0,1584598;3,308236;-1,001615;0,3291471;0,4874704;-5,607835
"TRA2A";"TRA2A";-0,1010974;6,099061;-1,001555;0,3291754;0,4874866;-6,326278
"RFC1";"RFC1";-0,1318457;5,108595;-1,001302;0,3292945;0,4876365;-6,231776
"RHBG";"RHBG";0,1474826;3,830085;1,001238;0,3293247;0,4876365;-5,835521
"LOC101929147";"LOC101929147";-0,1095348;7,007474;-1,00123;0,3293284;0,4876365;-6,299063
"PKN2-AS1";"PKN2-AS1";0,09245076;6,934069;1,001151;0,3293656;0,4876443;-6,30522
"ACTN1";"ACTN1";-0,2657904;3,099868;-1,001145;0,3293683;0,4876443;-5,581397
"RPE";"RPE";-0,09471334;6,326608;-1,000991;0,3294406;0,4876975;-6,325327
"NEXN-AS1";"NEXN-AS1";-0,2231149;2,46017;-1,000958;0,3294562;0,4876975;-5,29946
"NEXN";"NEXN";-0,2231149;2,46017;-1,000958;0,3294562;0,4876975;-5,29946
"WNK3";"WNK3";0,1025834;3,779333;1,00088;0,329493;0,4877265;-5,780843
"MIR6868";"MIR6868";-0,1946394;4,297861;-1,000842;0,329511;0,4877275;-6,021724
"TMEM169";"TMEM169";-0,08862127;4,871585;-1,000792;0,3295345;0,4877367;-6,17914
"LOC105376734";"LOC105376734";-0,1433153;4,367622;-1,000671;0,3295917;0,4877957;-6,028551
"KIAA1107";"KIAA1107";-0,550209;0,2016058;-1,000567;0,3296403;0,487842;-4,784928
"OMD";"OMD";-0,1998635;3,596866;-1,000251;0,3297893;0,4880369;-5,69845
"DTWD2";"DTWD2";-0,09154711;6,423343;-1,00007;0,3298745;0,4881374;-6,323712
"SCARNA6";"SCARNA6";-0,2917695;2,824729;-0,9999283;0,3299416;0,4881728;-5,391945
"GALNT12";"GALNT12";-0,1828183;3,628604;-0,9999094;0,3299505;0,4881728;-5,797907
"LSM3";"LSM3";0,1287779;5,805147;0,9998782;0,3299652;0,4881728;-6,3236
"LOC100507554";"LOC100507554";-0,1753684;4,526834;-0,9998361;0,329985;0,4881728;-6,074347
"RPL37A";"RPL37A";-0,1753684;4,526834;-0,9998361;0,329985;0,4881728;-6,074347
"MAPK11";"MAPK11";0,1303545;3,862527;0,9995156;0,3301362;0,4883361;-5,863955
"PLIN1";"PLIN1";0,1950989;3,797988;0,9994974;0,3301448;0,4883361;-5,845685
"KLHDC2";"KLHDC2";0,1013395;6,70186;0,9994919;0,3301473;0,4883361;-6,315958
"LOC113230";"LOC113230";0,08051994;5,629222;0,9993469;0,3302158;0,4883837;-6,314023
"MIR1199";"MIR1199";0,08051994;5,629222;0,9993469;0,3302158;0,4883837;-6,314023
"NUP210P1";"NUP210P1";-0,1059465;3,981066;-0,9993135;0,3302315;0,4883837;-5,896177
"GNAT3";"GNAT3";-0,511081;1,159311;-0,9989749;0,3303913;0,4885699;-4,974665
"CD3D";"CD3D";0,1173615;5,089679;0,9989732;0,3303921;0,4885699;-6,227245
"LOC105371316";"LOC105371316";-0,4423381;2,377373;-0,9987799;0,3304833;0,4886792;-5,213965
"SARDH";"SARDH";-0,1320104;3,528843;-0,9984123;0,3306568;0,4889102;-5,713071
"FAM189B";"FAM189B";0,05977118;6,224937;0,9983652;0,3306791;0,4889175;-6,330761
