"";"genes";"logFC.RNA";"AveExpr.RNA";"t.RNA";"P.Value.RNA";"adj.P.Val.RNA";"B.RNA";"logFC.ATAC";"AveExpr.ATAC";"t.ATAC";"P.Value.ATAC";"adj.P.Val.ATAC";"B.ATAC"
"56";"ABHD11";0,375426893430001;4,06960881755827;1,62535997556032;0,118754601831588;0,999718359855294;-4,43631720956674;-0,238839170608561;5,48429368963133;-3,81591555624403;0,00117096018055137;0,0114190288687211;-1,29732419492935
"57";"ABHD12";-0,0998282404213651;5,84785493371497;-0,685737689055615;0,500256175426173;0,999718359855294;-4,70356482683944;0,381510455509997;4,97803611554494;5,25865255015851;4,51182805322666e-05;0,00159317715555472;1,98544455481075
"58";"ABHD13";-0,0100409532573966;3,96306687716346;-0,0389495383585984;0,969292465292521;0,999718359855294;-4,72271338256433;0,0288716242868254;5,03808607561422;0,338436137870084;0,738754970771433;0,813198674342318;-6,80224924373227
"59";"ABHD14A";0,212214222294811;2,49912624429649;1,16684337174764;0,256139140342737;0,999718359855294;-4,57676198391518;0,0279875622501518;5,41497462071325;0,37949276141693;0,70854064990187;0,789963424681008;-6,82514469680654
"60";"ABHD14B";0,169812758963254;5,33931217563682;1,31697490106753;0,201805533143033;0,999718359855294;-4,51963082974991;0,0279875622501518;5,41497462071325;0,37949276141693;0,70854064990187;0,789963424681008;-6,82514469680654
"61";"ABHD15";-0,206374205687922;5,13936857820564;-1,64623247324575;0,114355303436004;0,999718359855294;-4,39669118867824;0,172529132971931;5,22225999187367;1,76361884193256;0,0939110065290485;0,177938636967742;-5,37562344425585
"62";"ABHD16A";0,0824521943414727;6,14730543450693;0,549290812094276;0,588504520869721;0,999718359855294;-4,73147277603419;-0,159563577880587;5,82989464434937;-1,61756445472647;0,122278956250825;0,214732662256977;-5,64147946691833
"63";"ABHD17A";-0,207467593009394;8,26159319532574;-1,17505975496611;0,252907246204884;0,999718359855294;-4,5676778050985;0,175586948858242;5,88411232356954;2,23581421506303;0,037591692470431;0,0992196360451514;-4,6064045385704
"64";"ABHD17B";-0,00456059688686317;4,64929204734573;-0,0248932876604734;0,980371239348663;0,999718359855294;-4,74881709142839;0,434131383690989;6,80001849765816;3,96639673318096;0,000830723768384736;0,0092995917988506;-0,940198287566204
"65";"ABHD17C";-0,135496076169302;2,77331344744324;-0,721197651484882;0,478610160971914;0,999718359855294;-4,63744949218185;-0,162128471588226;3,54304779106264;-1,41429127503319;0,173494522836364;0,277106403199567;-5,38866671062038
"66";"ABHD2";-0,19559871707315;7,63302281943776;-1,29099184711208;0,210508212491554;0,999718359855294;-4,52887818537135;0,325081616547168;4,6970015370306;4,46562500539925;0,000266542105871253;0,00460457151649951;0,269893183197235
"67";"ABHD3";-0,200549851827097;5,1961448064988;-0,785420365950279;0,440835000697451;0,999718359855294;-4,67433715639511;0,20850158387134;5,92202820866294;2,88534050182468;0,0094956245673347;0,042495180801815;-3,32538909547483
"68";"ABHD4";-0,266801532729323;5,30666674203003;-1,76338691701906;0,0921404080675242;0,999718359855294;-4,34466012262241;-0,251308007517077;6,39392343141929;-2,76986035017006;0,0122168377941856;0,0494708030898724;-3,55080694941549
