"";"pathway";"eg";"symbol";"ensembl"
"123";"path:hsa04650";"80329";"ULBP1";"ENSG00000111981"
"124";"path:hsa04650";"836";"CASP3";"ENSG00000164305"
"125";"path:hsa04650";"8503";"PIK3R3";"ENSG00000117461"
"126";"path:hsa04650";"8743";"TNFSF10";"ENSG00000121858"
"127";"path:hsa04650";"8795";"TNFRSF10B";"ENSG00000120889"
"128";"path:hsa04650";"8797";"TNFRSF10A";"ENSG00000104689"
"129";"path:hsa04650";"919";"CD247";"ENSG00000198821"
"130";"path:hsa04650";"9436";"NCR2";"ENSG00000096264"
"131";"path:hsa04650";"9437";"NCR1";"ENSG00000189430"
"132";"path:hsa04650";"962";"CD48";"ENSG00000117091"
